"id_theme";"id_quote"
1;1
3;1
3;2
3;3
3;4
8;5
3;5
3;6
3;7
2;8
1;9
3;10
2;10
3;11
3;12
10;13
3;13
3;14
3;15
3;16
3;17
13;17
1;17
3;18
3;19
1;19
8;20
3;20
3;21
3;22
1;23
3;24
1;25
1;26
1;27
3;28
1;29
3;30
1;30
1;31
1;32
1;33
1;34
3;35
3;36
3;37
3;38
3;39
1;40
1;41
1;42
1;43
1;44
1;45
3;46
1;47
3;48
3;49
1;50
3;50
3;51
1;52
11;53
12;53
3;54
1;55
3;56
1;56
3;57
