"id";"title"
1;"Économique"
2;"Santé"
3;"Social"
4;"Sécurité"
5;"Jeunesse"
6;"Environnement"
7;"Écologie"
8;"Éducation"
9;"Sport"
10;"Justice"
11;"Politique"
12;"Légal"
13;"Éthique"
